,confirm,suspect,heal,dead,severe,input,newConfirm,newDead,newHeal
辽阳,3,0,3,0,0,,,,
营口,1,0,1,0,0,,,,
抚顺,1,0,1,0,0,,,,
朝阳,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,1,0,0,,,,
内蒙古,366,0,353,1,0,0.0,,,
境外输入,261,0,249,0,0,,,,
呼伦贝尔,37,0,37,0,0,,,,
鄂尔多斯,11,0,11,0,0,,,,
包头,11,0,11,0,0,,,,
赤峰,9,0,9,0,0,,,,
锡林郭勒,9,0,9,0,0,,,,
巴彦淖尔,8,0,7,1,0,,,,
通辽,7,0,7,0,0,,,,
呼和浩特,7,0,7,0,0,,,,
乌兰察布,3,0,3,0,0,,,,
乌海,2,0,2,0,0,,,,
兴安盟,1,0,1,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
阿拉善盟,0,0,0,0,0,,,,
锡林郭勒盟,0,0,0,0,0,,,,
天津,343,0,319,3,0,0.0,,,
境外输入,196,0,175,0,0,,,,
天津本土,147,0,140,0,0,,,,
宝坻区,60,0,58,2,0,,,,
河东区,15,0,14,1,0,,,,
滨海新区,13,0,13,0,0,,,,
河北区,12,0,12,0,0,,,,
北辰区,7,0,7,0,0,,,,
外地来津,6,0,6,0,0,,,,
南开区,6,0,6,0,0,,,,
和平区,6,0,6,0,0,,,,
河西区,4,0,4,0,0,,,,
东丽区,4,0,4,0,0,,,,
西青区,4,0,4,0,0,,,,
宁河区,4,0,4,0,0,,,,
津南区,2,0,2,0,0,,,,
红桥区,2,0,2,0,0,,,,
武清区,2,0,2,0,0,,,,
河东,0,0,0,0,0,,,,
河西,0,0,0,0,0,,,,
南开,0,0,0,0,0,,,,
河北,0,0,0,0,0,,,,
和平,0,0,0,0,0,,,,
红桥,0,0,0,0,0,,,,
北辰,0,0,0,0,0,,,,
武清,0,0,0,0,0,,,,
宝坻,0,0,0,0,0,,,,
东丽,0,0,0,0,0,,,,
西青,0,0,0,0,0,,,,
津南,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
静海县,0,0,0,0,0,,,,
蓟县,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
广西,267,0,263,2,0,0.0,,,
南宁,56,0,55,0,0,,,,
北海,44,0,43,1,0,,,,
桂林,32,0,32,0,0,,,,
河池,28,0,27,1,0,,,,
柳州,24,0,24,0,0,,,,
防城港,19,0,19,0,0,,,,
境外输入,14,0,13,0,0,,,,
玉林,11,0,11,0,0,,,,
来宾,11,0,11,0,0,,,,
贵港,8,0,8,0,0,,,,
钦州,8,0,8,0,0,,,,
梧州,5,0,5,0,0,,,,
贺州,4,0,4,0,0,,,,
百色,3,0,3,0,0,,,,
境外输入人员,1,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
崇左,0,0,0,0,0,,,,
山西,238,0,227,0,0,0.0,,,
境外输入,100,0,93,0,0,,,,
晋中,41,0,37,0,0,,,,
太原,21,0,21,0,0,,,,
运城,19,0,19,0,0,,,,
大同,12,0,12,0,0,,,,
晋城,10,0,10,0,0,,,,
长治,8,0,8,0,0,,,,
朔州,8,0,8,0,0,,,,
忻州,7,0,7,0,0,,,,
吕梁,6,0,6,0,0,,,,
阳泉,4,0,4,0,0,,,,
临汾,2,0,2,0,0,,,,
未明确地区,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
云南,231,0,228,2,0,0.0,,,
境外输入,57,0,56,0,0,,,,
